user_name,account_type,state,party,office,first_name,last_name,middle_name,suffix
pedropierluisi,official,PR,d,House Representative,Pedro,Pierluisi,"",""
RepMcCaul,official,TX,r,House Representative,Michael,McCaul,"",""
SenatorKirk,official,IL,r,Senator,Mark,Kirk,,
RepHuizenga,official,MI,r,House Representative,Bill,Huizenga,"",""
RogerWicker,campaign,MS,r,Senator,Roger,Wicker,"",""
SenShelby,official,AL,r,Senator,Richard,Shelby,,
Nunnelee2012,campaign,MS,r,House Representative,Alan,Nunnelee,"",""
RepJudyChu,official,CA,d,House Representative,Judy,Chu,,
RestoreAccount,official,OK,r,Senator,Tom,Coburn,"",""
repjimcooper,official,TN,d,House Representative,Jim,Cooper,"",""
RepAnnaEshoo,official,CA,d,House Representative,Anna,Eshoo,G.,""
RepAdamSmith,official,WA,d,House Representative,Adam,Smith,"",""
RepDavid,official,AZ,r,House Representative,David,Schweikert,"",""
RepJoseSerrano,official,NY,d,House Representative,Jose,Serrano,"",""
billylongmo7,,"",r,,"","","",""
RepBarbaraLee,official,CA,d,House Representative,Barbara,Lee,,
RepStevePearce,official,NM,r,House Representative,Steve,Pearce,,
DavidVitter,campaign,LA,r,Senator,David,Vitter,"",""
RepLloydDoggett,official,TX,d,House Representative,Lloyd,Doggett,,
VernBuchanan,official,FL,r,House Representative,Vern,Buchanan,,
JerryCostello,official,IL,d,House Representative,Jerry,Costello,"",""
cbrangel,official,NY,d,House Representative,Charles,Rangel,"",""
RepRichmond,official,LA,d,House Representative,Cedric,Richmond,,
keithellison,official,MN,d,House Representative,Keith,Ellison,"",""
RepKathyHochul,official,NY,d,House Representative,Kathy,Hochul,,
CongHuelskamp,official,KS,r,House Representative,Tim,Huelskamp,"",""
RepJimRenacci,official,OH,r,House Representative,Jim,Renacci,"",""
RepSchilling,official,IL,r,House Representative,Bobby,Schilling,,
RepAdamSchiff,official,CA,d,House Representative,Adam,Schiff,"",""
Dennis_Kucinich,campaign,OH,d,House Representative,Dennis,Kucinich,,
CandiceMiller,official,MI,r,House Representative,Candice,Miller,,
CongCulberson,official,TX,r,House Representative,John,Culberson,,
RepHartzler,official,MO,r,House Representative,Vicky,Hartzler,,
DrPhilGingrey,official,GA,r,House Representative,Phil,Gingrey,"",""
RepJohnCampbell,official,CA,r,House Representative,John,Campbell,"",""
virginiafoxx,official,NC,r,House Representative,Virginia,Foxx,"",""
CynthiaLummis,official,WY,r,House Representative,Cynthia,Lummis,"",""
Mike_Johanns,official,NE,r,Senator,Mike,Johanns,"",""
SpeakerBoehner,official,OH,r,House Representative,John,Boehner,,
AnderCrenshaw,official,FL,r,House Representative,Ander,Crenshaw,,
RepDaveCamp,official,MI,r,House Representative,Dave,Camp,"",""
SenRonJohnson,official,WI,r,Senator,Ron,Johnson,,
SenCarlLevin,official,MI,d,Senator,Carl,Levin,"",""
RepTomGraves,official,GA,r,House Representative,Tom,Graves,"",""
SenatorMenendez,official,NJ,d,Senator,Robert,Menendez,"""Bob""",
RepHensarling,official,TX,r,House Representative,Jeb,Hensarling,,
Jim_Jordan,official,OH,r,House Representative,Jim,Jordan,,
TomReedCongress,campaign,NY,r,House Representative,Tom,Reed,"",""
RepGeneGreen,official,TX,d,House Representative,Gene,Green,,
GOPLeader,official,CA,r,House Representative,Kevin,McCarthy,"",""
RepFitzpatrick,official,PA,r,House Representative,Mike,Fitzpatrick,"",""
RepEBJ,official,TX,d,House Representative,E.B.,Johnson,"",""
farenthold,official,TX,r,House Representative,Blake,Farenthold,"",""
RepMikeQuigley,official,IL,d,House Representative,Mike,Quigley,,
BachusAL06,official,AL,r,House Representative,Spencer,Bachus,"",""
RepFredUpton,official,MI,r,House Representative,Fred,Upton,"",""
RepMikeHonda,official,CA,d,House Representative,Mike,Honda,"",""
Daniel_Inouye,official,HI,d,Senator,Daniel,Inouye,"",""
HowardCoble,official,NC,r,House Representative,Howard,Coble,"",""
RepJohnConyers,official,MI,d,House Representative,John,Conyers,"",""
USRepRHinojosa,official,TX,d,House Representative,Ruben,Hinojosa,,
SenJeffMerkley,official,OR,d,Senator,Jeff,Merkley,,
Robert_Aderholt,official,AL,r,House Representative,Robert,Aderholt,,
DennyRehberg,official,MT,r,House Representative,Denny,Rehberg,,
Clyburn,official,SC,d,House Representative,James,Clyburn,E.,
donmanzullo,official,IL,r,House Representative,Don,Manzullo,,
RepCohen,official,TN,d,House Representative,Steve,Cohen,,
RepLarryBucshon,official,IN,r,House Representative,Larry,Bucshon,,
RepFleming,official,LA,r,House Representative,John,Fleming,,
RepSteveChabot,official,OH,r,House Representative,Steve,Chabot,"",""
ColleenHanabusa,campaign,HI,d,House Representative,Colleen,Hanabusa,"",""
BlumenauerMedia,official,OR,d,House Representative,Earl,Blumenauer,"",""
ToddAkin,campaign,MO,r,House Representative,Todd,Akin,,
GreggHarper,official,MS,r,House Representative,Gregg,Harper,,
MarkWarner,official,VA,d,Senator,Mark,Warner,"",""
SanfordBishop,official,GA,d,House Representative,Sanford,Bishop,D.,Jr.
repdonyoung,official,AK,r,House Representative,Don,Young,"",""
gracenapolitano,official,CA,d,House Representative,Grace,Napolitano,"",""
CongressmanGT,official,PA,r,House Representative,Glenn,Thompson,"""GT""",""
EleanorNorton,official,DC,d,House Representative,Eleanor,Holmes-Norton,,
replouiegohmert,official,TX,r,House Representative,Louie,Gohmert,"",""
RepCliffStearns,official,FL,r,House Representative,Cliff,Stearns,,
RepTomMarino,official,PA,r,House Representative,Tom,Marino,"",""
davereichert,official,WA,r,House Representative,Dave,Reichert,"",""
annmbuerkle,official,NY,r,House Representative,Anne,Buerkle,Marie,""
Westmoreland_GA,official,GA,r,House Representative,Lynn,Westmoreland,"",""
LeonardBoswell,official,IA,d,House Representative,Leonard,Boswell,,
RepBobbyRush,official,IL,d,House Representative,Bobby,Rush,L.,
RepGaryAckerman,campaign,NY,d,House Representative,Gary,Ackerman,"",""
RepMGriffith,official,VA,r,House Representative,Morgan,Griffith,"",""
EricCantor,official,VA,r,House Representative,Eric,Cantor,"",""
RepTipton,official,CO,r,House Representative,Scott,Tipton,"",""
RepBillFlores,official,TX,r,House Representative,Bill,Flores,,
RepTerriSewell,official,AL,d,House Representative,Terri,Sewell,A.,""
SenJohnBarrasso,official,WY,r,Senator,John,Barrasso,,
CongBobFilner,official,CA,d,House Representative,Bob,Filner,,
RepKenMarchant,official,TX,r,House Representative,Kenny,Marchant,,
benquayle,official,AZ,r,House Representative,Ben,Quayle,,
RepJerryLewis,official,CA,r,House Representative,Jerry,Lewis,,
RepSpeier,official,CA,d,House Representative,Jackie,Speier,"",""
SenatorHarkin,official,IA,d,Senator,Tom,Harkin,"",""
McConnellPress,official,KY,r,Senator,Mitch,McConnell,"",""
AllenWest,official,FL,r,House Representative,Allen,West,,
askgeorge,official,CA,d,House Representative,George,Miller,"",""
USSenScottBrown,official,MA,r,Senator,Scott,Brown,,
USRepSullivan,official,OK,r,House Representative,John,Sullivan,,
RepJeffDenham,official,CA,r,House Representative,Jeff,Denham,,
RepChrisGibson,official,NY,r,House Representative,Chris,Gibson,"",""
MarioDB,official,FL,r,House Representative,Mario,Diaz-Balart,,
CarolynBMaloney,campaign,NY,d,House Representative,Carolyn,Maloney,B.,""
